StockCode,description,product_category,quantity_sold,total_revenue,nb_orders,nb_customers,avg_unit_price,returned_qty,return_value,return_rate_qty,market_share_pct,rank_revenue,cumulative_revenue_pct,abc_class,first_period,second_period,growth_pct,bcg_quadrant,elasticity,elasticity_profile,peak_month,pricing_action,suggested_price,estimated_gain_5pct
22423,REGENCY CAKESTAND 3 TIER,Kitchen & Tableware,11282.5,95134.625,1988,881,8.443846537120079,855.0,9697.05,0.07578107688898737,1.3122686149037954,1,1.3122686149037956,A,52933.35,42201.275,-20.274694497892156,Vache à lait,,Non calculable,2010-12,Surveiller sans action urgente,8.443846537120079,0.0
47566,PARTY BUNTING,Other,12613.0,66027.24,1685,708,5.453166568569747,268.0,1156.8,0.021247918813922143,0.9107669765946994,2,2.223035591498495,A,31251.275,34775.965000000004,11.278547835248329,Étoile,-6.88979186998786,Élastique,2011-05,Mettre en avant et sécuriser le stock,5.453166568569747,0.0
85123A,CREAM HANGING HEART T-LIGHT HOLDER,Home Decor,21629.5,61307.195,2198,856,3.1178384376387043,2578.0,6624.3,0.11918907048244295,0.8456595888856123,3,3.0686951803841076,A,33223.855,28083.34,-15.47236165098843,Vache à lait,-3.2224530285099977,Élastique,2011-05,Surveiller sans action urgente,3.1178384376387043,0.0
85099B,JUMBO BAG RED RETROSPOT,Bags & Packaging,22390.0,47772.21,2089,635,2.4861972498814606,1115.0,1984.02,0.049799017418490396,0.6589606239325929,4,3.7276558043167007,A,18797.48,28974.73,54.14156578434982,Étoile,-1.3240874825202917,Élastique,2011-11,Mettre en avant et sécuriser le stock,2.4861972498814606,0.0
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Christmas,11493.5,37507.455,1160,613,3.362331081081081,453.0,1160.35,0.03941358158959412,0.5173705790233203,5,4.245026383340021,A,6763.745,30743.710000000003,354.5367987705037,Étoile,-1.5500396201549784,Élastique,2011-11,Mettre en avant et sécuriser le stock,3.362331081081081,0.0
84879,ASSORTED COLOUR BIRD ORNAMENT,Other,21599.0,36728.655,1455,678,1.7225745257452574,48.0,81.11999999999999,0.0022223251076438724,0.5066279624703347,6,4.751654345810356,A,16189.885,20538.77,26.86174114269496,Étoile,-2.2419386963474746,Élastique,2011-11,Mettre en avant et sécuriser le stock,1.7225745257452574,0.0
23298,SPOTTY BUNTING,Other,6682.5,34205.375,1146,573,5.279276485788113,110.0,482.80999999999995,0.01646090534979424,0.4718223262404715,7,5.223476672050827,A,7476.925,26728.45,257.4791776030922,Étoile,,Non calculable,2011-05,Mettre en avant et sécuriser le stock,5.279276485788113,0.0
79321,CHILLI LIGHTS,Other,6250.5,33013.13,661,205,6.009415292353823,80.0,349.7,0.012798976081913447,0.4553767293321327,8,5.67885340138296,A,14601.105,18412.025,26.10021638773231,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,6.009415292353823,0.0
22960,JAM MAKING SET WITH JARS,Other,7114.0,30796.14,1132,573,5.075798764342454,246.0,1004.5,0.0345797019960641,0.42479599811512764,9,6.103649399498088,A,15411.885,15384.255,-0.17927722663386741,Vache à lait,,Non calculable,2011-03,Surveiller sans action urgente,5.075798764342454,0.0
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,Home Decor,5638.5,28418.85,1385,640,5.465064655172414,153.0,725.1500000000001,0.02713487629688747,0.3920041197057194,10,6.495653519203808,A,11990.3,16428.55,37.01533739772984,Étoile,,Non calculable,2011-03,Mettre en avant et sécuriser le stock,5.465064655172414,0.0
23084,RABBIT NIGHT LIGHT,Other,12416.0,28020.335,994,450,2.386401179941003,108.0,208.40000000000003,0.008698453608247423,0.3865070808823848,11,6.882160600086193,A,1694.56,26325.775,1453.5463483146068,Étoile,-8.844776681587575,Élastique,2011-11,Mettre en avant et sécuriser le stock,2.386401179941003,0.0
20725,LUNCH BAG RED RETROSPOT,Bags & Packaging,14359.0,27816.055,1565,532,2.1314222503160556,552.0,818.4,0.038442788495020544,0.3836892820772437,12,7.265849882163436,A,11584.45,16231.605,40.11545649556085,Étoile,-0.6101040469733734,Inélastique,2011-11,Tester une hausse de prix de 3 à 5 %,2.2379933628318587,1390.80275
22112,CHOCOLATE HOT WATER BOTTLE,Other,5325.0,27165.9,858,382,5.487477064220183,80.0,344.88,0.015023474178403756,0.37472116976983955,13,7.640571051933276,A,8413.825,18752.075,122.87217763621182,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,5.487477064220183,0.0
23284,DOORMAT KEEP CALM AND COME IN,Other,3659.0,26761.15,728,378,7.867185792349726,225.0,1601.25,0.06149221098660836,0.3691381265625708,14,8.009709178495847,A,5441.655,21319.495,291.783290193884,Étoile,,Non calculable,2011-10,Mettre en avant et sécuriser le stock,7.867185792349726,0.0
23203,JUMBO BAG VINTAGE DOILY ,Stationery,12252.0,25559.745,1231,505,2.275764895330113,590.0,1076.4,0.048155403199477635,0.3525661783860946,15,8.362275356881941,A,3841.02,21718.725000000002,465.44160144961495,Étoile,4.76460003579632,Atypique / complémentaire,2011-11,Mettre en avant et sécuriser le stock,2.275764895330113,0.0
23355,HOT WATER BOTTLE KEEP CALM,Other,5042.5,24610.915,782,474,5.128793969849246,48.0,218.39999999999998,0.009519087754090234,0.3394782009028264,16,8.701753557784768,A,0.0,24610.915,,Vache à lait,,Non calculable,2011-11,Surveiller sans action urgente,5.128793969849246,0.0
22457,NATURAL SLATE HEART CHALKBOARD ,Home Decor,7653.5,24200.985,1249,587,3.59003187250996,52.0,152.6,0.0067942771281113215,0.3338237057775498,17,9.035577263562319,A,11915.630000000001,12285.355000000001,3.102857339477647,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,3.59003187250996,0.0
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Kitchen & Tableware,4488.5,23770.805,643,325,4.968266253869969,34.0,130.1,0.00757491366826334,0.3278898860693278,18,9.363467149631646,A,4108.66,19662.145,378.5537133761373,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,4.968266253869969,0.0
22386,JUMBO BAG PINK POLKADOT,Bags & Packaging,10733.0,23508.49,1218,372,2.598733766233766,456.0,816.58,0.042485791484207586,0.32427156370017474,19,9.687738713331822,A,8858.47,14650.02,65.37867148615959,Étoile,-5.148554348682125,Élastique,2011-09,Mettre en avant et sécuriser le stock,2.598733766233766,0.0
22726,ALARM CLOCK BAKELIKE GREEN,Other,5336.5,23302.335,980,322,4.536592517694641,32.0,120.0,0.0059964396139792,0.32142790150772377,20,10.009166614839545,A,6199.88,17102.454999999998,175.85138744620858,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,4.536592517694641,0.0
22699,ROSES REGENCY TEACUP AND SAUCER ,Kitchen & Tableware,7511.5,23058.045000000002,1065,423,3.661425908667288,435.0,1144.45,0.05791120282233908,0.3180582125019087,21,10.327224827341453,A,10087.415,12970.630000000001,28.5822978434019,Étoile,,Non calculable,2011-09,Mettre en avant et sécuriser le stock,3.661425908667288,0.0
22727,ALARM CLOCK BAKELIKE RED ,Other,5520.5,23032.055,1051,388,4.3953345900094245,71.0,266.25,0.01286115388098904,0.31769971146927883,22,10.644924538810734,A,8204.425,14827.63,80.7272295133419,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,4.3953345900094245,0.0
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,Christmas,7343.0,22976.370000000003,820,470,3.3676774969915764,351.0,931.4500000000002,0.04780062644695628,0.31693160335069515,23,10.961856142161428,A,4721.2300000000005,18255.14,286.6606795263098,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,3.3676774969915764,0.0
23245,SET OF 3 REGENCY CAKE TINS,Kitchen & Tableware,4600.0,22904.34,873,472,5.48541095890411,90.0,421.4999999999999,0.01956521739130435,0.315938035463803,24,11.27779417762523,A,0.0,22904.34,,Vache à lait,,Non calculable,2011-07,Surveiller sans action urgente,5.48541095890411,0.0
21931,JUMBO STORAGE BAG SUKI,Bags & Packaging,9327.0,22748.155,1184,333,2.746616415410385,334.0,602.33,0.03581001393802938,0.3137836497854157,25,11.591577827410648,A,9818.18,12929.975,31.69421420263226,Étoile,-1.1009334540424902,Élastique,2011-09,Mettre en avant et sécuriser le stock,2.746616415410385,0.0
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,Stationery,9074.0,22104.13,1175,375,2.689254237288136,342.0,599.07,0.03769010359268239,0.30490009351225633,26,11.896477920922903,A,9442.44,12661.69,34.093412295974346,Étoile,-3.777707452522245,Élastique,2011-09,Mettre en avant et sécuriser le stock,2.689254237288136,0.0
20685,DOORMAT RED RETROSPOT,Other,3013.0,21708.385,696,329,7.840573888091822,66.0,461.22,0.02190507799535347,0.29944126353310724,27,12.195919184456011,A,11652.15,10056.235,-13.696313555867365,Vache à lait,,Non calculable,2010-12,Surveiller sans action urgente,7.840573888091822,0.0
82484,WOOD BLACK BOARD ANT WHITE FINISH,Other,3199.0,21667.435,685,285,7.5547591240875915,24.0,170.95,0.007502344482650828,0.2988764071542619,28,12.494795591610274,A,9793.835,11873.6,21.235450668711504,Étoile,,Non calculable,2010-12,Mettre en avant et sécuriser le stock,7.5547591240875915,0.0
22139,RETROSPOT TEA SET CERAMIC 11 PC ,Kitchen & Tableware,4285.5,21299.325,962,488,5.404564315352697,42.0,195.29999999999998,0.009800490024501224,0.29379876901954244,29,12.788594360629816,A,6678.5,14620.825,118.92378528112602,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,5.404564315352697,0.0
22697,GREEN REGENCY TEACUP AND SAUCER,Kitchen & Tableware,6423.0,20575.25,1013,387,3.835362035225049,143.0,393.05000000000007,0.022263739685505216,0.28381101853083796,30,13.072405379160653,A,9402.880000000001,11172.37,18.818596004628365,Étoile,,Non calculable,2011-09,Mettre en avant et sécuriser le stock,3.835362035225049,0.0
22178,VICTORIAN GLASS HANGING T-LIGHT,Home Decor,13623.5,20405.145,1037,403,1.6440249759846302,449.0,623.6500000000001,0.03295775681726429,0.2814646230650629,31,13.353870002225717,A,9647.34,10757.805,11.510582191567833,Étoile,0.6218402368026645,Atypique / complémentaire,2011-03,Mettre en avant et sécuriser le stock,1.6440249759846302,0.0
22138,BAKING SET 9 PIECE RETROSPOT ,Other,4086.0,19927.925,934,581,5.178518123667377,68.0,311.09999999999997,0.016642192853646598,0.27488194269601335,32,13.62875194492173,A,5806.6,14121.325,143.1943822546757,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,5.178518123667377,0.0
22666,RECIPE BOX PANTRY YELLOW DESIGN,Home Decor,5836.5,19469.75,1111,471,3.7048793565683646,151.0,421.04999999999995,0.02587166966503898,0.26856196537299826,33,13.897313910294729,A,8924.655,10545.095000000001,18.156892339255695,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,3.7048793565683646,0.0
48138,DOORMAT UNION FLAG,Other,2629.0,19194.135,616,313,7.872200647249191,12.0,97.5,0.004564473183720046,0.2647601853765279,34,14.162074095671256,A,11184.48,8009.655,-28.385986652933347,Vache à lait,,Non calculable,2011-03,Surveiller sans action urgente,7.872200647249191,0.0
22469,HEART OF WICKER SMALL,Home Decor,10885.5,19072.260000000002,1201,573,1.959712879409352,135.0,207.95000000000002,0.012401818933443571,0.26307906520139296,35,14.42515316087265,A,9494.26,9578.0,0.8820066018836621,Vache à lait,-5.056339866028207,Élastique,2010-12,Surveiller sans action urgente,1.959712879409352,0.0
23199,JUMBO BAG APPLES,Bags & Packaging,8528.5,19047.945,978,344,2.5699290060851925,723.0,1309.25,0.08477457935158586,0.2627436687947598,36,14.68789682966741,A,4607.415,14440.53,213.41934685718567,Étoile,3.5836444528731937,Atypique / complémentaire,2011-08,Mettre en avant et sécuriser le stock,2.5699290060851925,0.0
22111,SCOTTIE DOG HOT WATER BOTTLE,Other,3773.0,19034.875,771,425,5.369154929577466,129.0,544.4499999999999,0.034190299496421946,0.26256338374295257,37,14.950460213410363,A,6717.25,12317.625,83.37303211879862,Étoile,,Non calculable,2011-11,Mettre en avant et sécuriser le stock,5.369154929577466,0.0
