month,StockCode,product_category,monthly_quantity,monthly_revenue,monthly_orders,monthly_customers,avg_monthly_unit_price,description,monthly_return_qty,monthly_return_value,monthly_return_invoices,monthly_return_rate,total_month_revenue,monthly_market_share_pct,price_pct_change,qty_pct_change,monthly_elasticity,abc_class,bcg_quadrant,elasticity,elasticity_profile,pricing_action,suggested_price,estimated_gain_5pct,return_rate_qty
2010-12,10002,Other,224.0,211.45999999999998,30,15,1.201,INFLATABLE POLITICAL GLOBE ,0.0,0.0,0.0,0.0,567945.04,0.0372324758747783,,,,C,Poids mort,,Non calculable,"Déprioriser, solder ou sortir du catalogue",1.086619718309859,0.0,0.0
2011-01,10002,Other,217.0,186.82,21,18,0.9628571428571429,INFLATABLE POLITICAL GLOBE ,0.0,0.0,0.0,0.0,434350.275,0.04301136910757107,-0.19828714166765793,-0.03125,0.1575997300539892,C,Poids mort,,Non calculable,"Déprioriser, solder ou sortir du catalogue",1.086619718309859,0.0,0.0
2011-02,10002,Other,52.0,45.76,7,5,1.0728571428571427,INFLATABLE POLITICAL GLOBE ,0.0,0.0,0.0,0.0,376548.665,0.01215247968014971,0.11424332344213628,-0.7603686635944701,-6.65569453587888,C,Poids mort,,Non calculable,"Déprioriser, solder ou sortir du catalogue",1.086619718309859,0.0,0.0
2011-03,10002,Other,28.0,27.7,8,5,1.1425,INFLATABLE POLITICAL GLOBE ,0.0,0.0,0.0,0.0,499042.575,0.005550628621215334,0.06491344873502025,-0.46153846153846156,-7.110059171597603,C,Poids mort,,Non calculable,"Déprioriser, solder ou sortir du catalogue",1.086619718309859,0.0,0.0
2011-04,10002,Other,64.0,54.400000000000006,5,5,0.85,INFLATABLE POLITICAL GLOBE ,0.0,0.0,0.0,0.0,386931.436,0.014059338409505712,-0.25601750547045954,1.2857142857142856,-5.021978021978021,C,Poids mort,,Non calculable,"Déprioriser, solder ou sortir du catalogue",1.086619718309859,0.0,0.0
2011-02,10080,Other,2.0,1.7,1,1,0.85,GROOVY CACTUS INFLATABLE,0.0,0.0,0.0,0.0,376548.665,0.000451468869236331,,,,C,Dilemme,,Non calculable,Tester visibilité ou promotion courte,0.41090909090909095,0.0,0.0
2011-06,10080,Other,40.5,15.795,2,1,0.39,GROOVY CACTUS INFLATABLE,0.0,0.0,0.0,0.0,492468.29,0.0032073131043625167,-0.5411764705882353,19.25,-35.57065217391305,C,Dilemme,,Non calculable,Tester visibilité ou promotion courte,0.41090909090909095,0.0,0.0
2011-07,10080,Other,24.0,9.36,2,2,0.39,GROOVY CACTUS INFLATABLE,0.0,0.0,0.0,0.0,497990.056,0.0018795556030138882,0.0,-0.40740740740740744,,C,Dilemme,,Non calculable,Tester visibilité ou promotion courte,0.41090909090909095,0.0,0.0
2011-08,10080,Other,60.0,23.4,4,4,0.39,GROOVY CACTUS INFLATABLE,0.0,0.0,0.0,0.0,508421.575,0.004602479743311443,0.0,1.5,,C,Dilemme,,Non calculable,Tester visibilité ou promotion courte,0.41090909090909095,0.0,0.0
2011-09,10080,Other,60.0,23.4,4,4,0.39,GROOVY CACTUS INFLATABLE,0.0,0.0,0.0,0.0,737847.716,0.0031713861129577586,0.0,0.0,,C,Dilemme,,Non calculable,Tester visibilité ou promotion courte,0.41090909090909095,0.0,0.0
