order_id,shipment_mode,discount_pct,discount_bucket,product_cost,weight_gms,customer_rating,care_calls,product_importance,on_time,delivery_status,estimated_revenue,gross_margin,discount_impact,shipping_cost,return_loss,net_margin,net_margin_rate,return_risk_score,return_risk_level
1,Flight,44,26-50% - Promotion forte,177,1233,2,4,Low,1,Livré à temps,316.0714,139.0714,139.0714,6.165,26.5161,-32.6811,-0.1034,2,Moyen
2,Flight,59,>50% - Liquidation,216,3088,5,4,Low,1,Livré à temps,526.8293,310.8293,310.8293,15.44,44.1972,-59.6372,-0.1132,2,Moyen
3,Flight,48,26-50% - Promotion forte,183,3374,2,2,Low,1,Livré à temps,351.9231,168.9231,168.9231,16.87,29.5238,-46.3938,-0.1318,2,Moyen
4,Flight,10,1-10% - Remise légère,176,1177,3,3,Medium,1,Livré à temps,195.5556,19.5556,19.5556,5.885,16.4057,-22.2907,-0.114,0,Faible
5,Flight,46,26-50% - Promotion forte,184,2484,2,2,Medium,1,Livré à temps,340.7407,156.7407,156.7407,12.42,28.5857,-41.0057,-0.1203,2,Moyen
6,Flight,12,11-25% - Remise significative,162,1417,1,3,Medium,1,Livré à temps,184.0909,22.0909,22.0909,7.085,15.4439,-22.5289,-0.1224,1,Faible
7,Flight,3,1-10% - Remise légère,250,2371,4,3,Low,1,Livré à temps,257.732,7.732,7.732,11.855,21.6219,-33.4769,-0.1299,0,Faible
8,Flight,48,26-50% - Promotion forte,233,2804,1,4,Low,1,Livré à temps,448.0769,215.0769,215.0769,14.02,37.5905,-51.6105,-0.1152,2,Moyen
9,Flight,11,11-25% - Remise significative,150,1861,4,3,Low,1,Livré à temps,168.5393,18.5393,18.5393,9.305,14.1393,-23.4443,-0.1391,0,Faible
10,Flight,29,26-50% - Promotion forte,164,1187,2,3,Medium,1,Livré à temps,230.9859,66.9859,66.9859,5.935,19.3781,-25.3131,-0.1096,2,Moyen
11,Flight,12,11-25% - Remise significative,189,2888,4,3,Medium,1,Livré à temps,214.7727,25.7727,25.7727,14.44,18.0179,-32.4579,-0.1511,0,Faible
12,Flight,32,26-50% - Promotion forte,232,3253,5,4,Medium,1,Livré à temps,341.1765,109.1765,109.1765,16.265,28.6223,-44.8873,-0.1316,1,Faible
13,Flight,1,1-10% - Remise légère,198,3667,5,3,Medium,1,Livré à temps,200.0,2.0,2.0,18.335,16.7786,-35.1136,-0.1756,0,Faible
14,Flight,29,26-50% - Promotion forte,275,2602,4,4,High,1,Livré à temps,387.3239,112.3239,112.3239,13.01,32.4937,-45.5037,-0.1175,1,Faible
15,Flight,43,26-50% - Promotion forte,152,1009,3,4,Low,1,Livré à temps,266.6667,114.6667,114.6667,5.045,22.3714,-27.4164,-0.1028,1,Faible
16,Flight,45,26-50% - Promotion forte,227,2707,3,4,Low,1,Livré à temps,412.7273,185.7273,185.7273,13.535,34.6249,-48.1599,-0.1167,1,Faible
17,Flight,6,1-10% - Remise légère,143,1194,4,3,Medium,1,Livré à temps,152.1277,9.1277,9.1277,5.97,12.7624,-18.7324,-0.1231,0,Faible
18,Ship,36,26-50% - Promotion forte,227,3952,5,5,Medium,1,Livré à temps,354.6875,127.6875,127.6875,7.904,29.7558,-37.6598,-0.1062,2,Moyen
19,Ship,18,11-25% - Remise significative,239,2495,5,5,High,1,Livré à temps,291.4634,52.4634,52.4634,4.99,24.4517,-29.4417,-0.101,1,Faible
20,Ship,45,26-50% - Promotion forte,145,1059,5,4,Medium,1,Livré à temps,263.6364,118.6364,118.6364,2.118,22.1172,-24.2352,-0.0919,1,Faible
21,Ship,38,26-50% - Promotion forte,161,1521,3,3,Medium,1,Livré à temps,259.6774,98.6774,98.6774,3.042,21.7851,-24.8271,-0.0956,1,Faible
22,Ship,51,>50% - Liquidation,232,2899,1,3,Medium,1,Livré à temps,473.4694,241.4694,241.4694,5.798,39.7207,-45.5187,-0.0961,3,Moyen
23,Ship,2,1-10% - Remise légère,156,1750,5,2,Low,1,Livré à temps,159.1837,3.1837,3.1837,3.5,13.3544,-16.8544,-0.1059,0,Faible
24,Ship,12,11-25% - Remise significative,211,3922,3,4,High,1,Livré à temps,239.7727,28.7727,28.7727,7.844,20.1152,-27.9592,-0.1166,0,Faible
25,Ship,28,26-50% - Promotion forte,251,3561,5,4,Medium,1,Livré à temps,348.6111,97.6111,97.6111,7.122,29.246,-36.368,-0.1043,1,Faible
26,Ship,29,26-50% - Promotion forte,225,3496,1,3,Low,1,Livré à temps,316.9014,91.9014,91.9014,6.992,26.5858,-33.5778,-0.106,2,Moyen
27,Ship,24,11-25% - Remise significative,172,1066,1,4,High,1,Livré à temps,226.3158,54.3158,54.3158,2.132,18.9863,-21.1183,-0.0933,1,Faible
28,Ship,31,26-50% - Promotion forte,162,1435,1,5,Medium,1,Livré à temps,234.7826,72.7826,72.7826,2.87,19.6966,-22.5666,-0.0961,3,Moyen
29,Ship,44,26-50% - Promotion forte,234,3134,3,2,Low,1,Livré à temps,417.8571,183.8571,183.8571,6.268,35.0552,-41.3232,-0.0989,1,Faible
30,Ship,36,26-50% - Promotion forte,183,3819,4,5,Low,1,Livré à temps,285.9375,102.9375,102.9375,7.638,23.9881,-31.6261,-0.1106,2,Moyen
