order_id,Warehouse_block,shipment_mode,care_calls,customer_rating,product_cost,Prior_purchases,product_importance,Gender,discount_pct,weight_gms,on_time,estimated_revenue,gross_margin,discount_impact,shipping_cost,return_loss,net_margin,net_margin_rate,delivery_status,discount_bucket
1,D,Flight,4,2,177,3,low,F,44,1233,1,316.07,139.07,139.07,6.17,26.52,-32.69,-10.34,Livré à temps,26-50%
2,F,Flight,4,5,216,2,low,M,59,3088,1,526.83,310.83,310.83,15.44,44.2,-59.64,-11.32,Livré à temps,>50%
3,A,Flight,2,2,183,4,low,M,48,3374,1,351.92,168.92,168.92,16.87,29.53,-46.4,-13.18,Livré à temps,26-50%
4,B,Flight,3,3,176,4,medium,M,10,1177,1,195.56,19.56,19.56,5.88,16.41,-22.29,-11.4,Livré à temps,1-10%
5,C,Flight,2,2,184,3,medium,F,46,2484,1,340.74,156.74,156.74,12.42,28.59,-41.01,-12.04,Livré à temps,26-50%
6,F,Flight,3,1,162,3,medium,F,12,1417,1,184.09,22.09,22.09,7.08,15.45,-22.53,-12.24,Livré à temps,11-25%
7,D,Flight,3,4,250,3,low,F,3,2371,1,257.73,7.73,7.73,11.86,21.62,-33.48,-12.99,Livré à temps,1-10%
8,F,Flight,4,1,233,2,low,F,48,2804,1,448.08,215.08,215.08,14.02,37.59,-51.61,-11.52,Livré à temps,26-50%
9,A,Flight,3,4,150,3,low,F,11,1861,1,168.54,18.54,18.54,9.3,14.14,-23.44,-13.91,Livré à temps,11-25%
10,B,Flight,3,2,164,3,medium,F,29,1187,1,230.99,66.99,66.99,5.94,19.38,-25.32,-10.96,Livré à temps,26-50%
11,C,Flight,3,4,189,2,medium,M,12,2888,1,214.77,25.77,25.77,14.44,18.02,-32.46,-15.11,Livré à temps,11-25%
12,F,Flight,4,5,232,3,medium,F,32,3253,1,341.18,109.18,109.18,16.27,28.63,-44.9,-13.16,Livré à temps,26-50%
13,D,Flight,3,5,198,3,medium,F,1,3667,1,200.0,2.0,2.0,18.34,16.78,-35.12,-17.56,Livré à temps,1-10%
14,F,Flight,4,4,275,3,high,M,29,2602,1,387.32,112.32,112.32,13.01,32.5,-45.51,-11.75,Livré à temps,26-50%
15,A,Flight,4,3,152,3,low,M,43,1009,1,266.67,114.67,114.67,5.04,22.37,-27.41,-10.28,Livré à temps,26-50%
16,B,Flight,4,3,227,3,low,F,45,2707,1,412.73,185.73,185.73,13.54,34.63,-48.17,-11.67,Livré à temps,26-50%
17,C,Flight,3,4,143,2,medium,F,6,1194,1,152.13,9.13,9.13,5.97,12.76,-18.73,-12.31,Livré à temps,1-10%
