StockCode,description,product_category,rank_revenue,total_revenue,cumulative_revenue_pct,abc_class,sku_count,cumulative_sku_count,cumulative_sku_pct
22423,REGENCY CAKESTAND 3 TIER,Kitchen & Tableware,1,95134.625,1.3122686149037956,A,1,1,0.02554278416347382
47566,PARTY BUNTING,Other,2,66027.24,2.223035591498495,A,1,2,0.05108556832694764
85123A,CREAM HANGING HEART T-LIGHT HOLDER,Home Decor,3,61307.195,3.0686951803841076,A,1,3,0.07662835249042146
85099B,JUMBO BAG RED RETROSPOT,Bags & Packaging,4,47772.21,3.7276558043167007,A,1,4,0.10217113665389528
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Christmas,5,37507.455,4.245026383340021,A,1,5,0.1277139208173691
84879,ASSORTED COLOUR BIRD ORNAMENT,Other,6,36728.655,4.751654345810356,A,1,6,0.15325670498084293
23298,SPOTTY BUNTING,Other,7,34205.375,5.223476672050827,A,1,7,0.17879948914431673
79321,CHILLI LIGHTS,Other,8,33013.13,5.67885340138296,A,1,8,0.20434227330779056
22960,JAM MAKING SET WITH JARS,Other,9,30796.14,6.103649399498088,A,1,9,0.22988505747126436
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,Home Decor,10,28418.85,6.495653519203808,A,1,10,0.2554278416347382
23084,RABBIT NIGHT LIGHT,Other,11,28020.335,6.882160600086193,A,1,11,0.28097062579821197
20725,LUNCH BAG RED RETROSPOT,Bags & Packaging,12,27816.055,7.265849882163436,A,1,12,0.30651340996168586
22112,CHOCOLATE HOT WATER BOTTLE,Other,13,27165.9,7.640571051933276,A,1,13,0.33205619412515963
23284,DOORMAT KEEP CALM AND COME IN,Other,14,26761.15,8.009709178495847,A,1,14,0.35759897828863346
23203,JUMBO BAG VINTAGE DOILY ,Stationery,15,25559.745,8.362275356881941,A,1,15,0.38314176245210724
23355,HOT WATER BOTTLE KEEP CALM,Other,16,24610.915,8.701753557784768,A,1,16,0.4086845466155811
22457,NATURAL SLATE HEART CHALKBOARD ,Home Decor,17,24200.985,9.035577263562319,A,1,17,0.4342273307790549
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Kitchen & Tableware,18,23770.805,9.363467149631646,A,1,18,0.45977011494252873
22386,JUMBO BAG PINK POLKADOT,Bags & Packaging,19,23508.49,9.687738713331822,A,1,19,0.48531289910600256
22726,ALARM CLOCK BAKELIKE GREEN,Other,20,23302.335,10.009166614839545,A,1,20,0.5108556832694764
22699,ROSES REGENCY TEACUP AND SAUCER ,Kitchen & Tableware,21,23058.045000000002,10.327224827341453,A,1,21,0.5363984674329502
22727,ALARM CLOCK BAKELIKE RED ,Other,22,23032.055,10.644924538810734,A,1,22,0.5619412515964239
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,Christmas,23,22976.370000000003,10.961856142161428,A,1,23,0.5874840357598978
23245,SET OF 3 REGENCY CAKE TINS,Kitchen & Tableware,24,22904.34,11.27779417762523,A,1,24,0.6130268199233717
21931,JUMBO STORAGE BAG SUKI,Bags & Packaging,25,22748.155,11.591577827410648,A,1,25,0.6385696040868455
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,Stationery,26,22104.13,11.896477920922903,A,1,26,0.6641123882503193
20685,DOORMAT RED RETROSPOT,Other,27,21708.385,12.195919184456011,A,1,27,0.6896551724137931
82484,WOOD BLACK BOARD ANT WHITE FINISH,Other,28,21667.435,12.494795591610274,A,1,28,0.7151979565772669
22139,RETROSPOT TEA SET CERAMIC 11 PC ,Kitchen & Tableware,29,21299.325,12.788594360629816,A,1,29,0.7407407407407408
22697,GREEN REGENCY TEACUP AND SAUCER,Kitchen & Tableware,30,20575.25,13.072405379160653,A,1,30,0.7662835249042145
