StockCode,description,abc_class,bcg_quadrant,quantity_sold,total_revenue,avg_unit_price,suggested_price,elasticity,elasticity_profile,return_rate_qty,peak_month,pricing_action,estimated_gain_5pct
22423,REGENCY CAKESTAND 3 TIER,A,Vache à lait,11282.5,95134.625,8.443846537120079,8.443846537120079,,Non calculable,0.07578107688898737,2010-12,Surveiller sans action urgente,0.0
47566,PARTY BUNTING,A,Étoile,12613.0,66027.24,5.453166568569747,5.453166568569747,-6.88979186998786,Élastique,0.021247918813922143,2011-05,Mettre en avant et sécuriser le stock,0.0
85123A,CREAM HANGING HEART T-LIGHT HOLDER,A,Vache à lait,21629.5,61307.195,3.1178384376387043,3.1178384376387043,-3.2224530285099977,Élastique,0.11918907048244295,2011-05,Surveiller sans action urgente,0.0
85099B,JUMBO BAG RED RETROSPOT,A,Étoile,22390.0,47772.21,2.4861972498814606,2.4861972498814606,-1.3240874825202917,Élastique,0.049799017418490396,2011-11,Mettre en avant et sécuriser le stock,0.0
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,A,Étoile,11493.5,37507.455,3.362331081081081,3.362331081081081,-1.5500396201549784,Élastique,0.03941358158959412,2011-11,Mettre en avant et sécuriser le stock,0.0
84879,ASSORTED COLOUR BIRD ORNAMENT,A,Étoile,21599.0,36728.655,1.7225745257452574,1.7225745257452574,-2.2419386963474746,Élastique,0.0022223251076438724,2011-11,Mettre en avant et sécuriser le stock,0.0
23298,SPOTTY BUNTING,A,Étoile,6682.5,34205.375,5.279276485788113,5.279276485788113,,Non calculable,0.01646090534979424,2011-05,Mettre en avant et sécuriser le stock,0.0
79321,CHILLI LIGHTS,A,Étoile,6250.5,33013.13,6.009415292353823,6.009415292353823,,Non calculable,0.012798976081913447,2011-11,Mettre en avant et sécuriser le stock,0.0
22960,JAM MAKING SET WITH JARS,A,Vache à lait,7114.0,30796.14,5.075798764342454,5.075798764342454,,Non calculable,0.0345797019960641,2011-03,Surveiller sans action urgente,0.0
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,A,Étoile,5638.5,28418.85,5.465064655172414,5.465064655172414,,Non calculable,0.02713487629688747,2011-03,Mettre en avant et sécuriser le stock,0.0
23084,RABBIT NIGHT LIGHT,A,Étoile,12416.0,28020.335,2.386401179941003,2.386401179941003,-8.844776681587575,Élastique,0.008698453608247423,2011-11,Mettre en avant et sécuriser le stock,0.0
20725,LUNCH BAG RED RETROSPOT,A,Étoile,14359.0,27816.055,2.1314222503160556,2.2379933628318587,-0.6101040469733734,Inélastique,0.038442788495020544,2011-11,Tester une hausse de prix de 3 à 5 %,1390.80275
22112,CHOCOLATE HOT WATER BOTTLE,A,Étoile,5325.0,27165.9,5.487477064220183,5.487477064220183,,Non calculable,0.015023474178403756,2011-11,Mettre en avant et sécuriser le stock,0.0
23284,DOORMAT KEEP CALM AND COME IN,A,Étoile,3659.0,26761.15,7.867185792349726,7.867185792349726,,Non calculable,0.06149221098660836,2011-10,Mettre en avant et sécuriser le stock,0.0
23203,JUMBO BAG VINTAGE DOILY ,A,Étoile,12252.0,25559.745,2.275764895330113,2.275764895330113,4.76460003579632,Atypique / complémentaire,0.048155403199477635,2011-11,Mettre en avant et sécuriser le stock,0.0
23355,HOT WATER BOTTLE KEEP CALM,A,Vache à lait,5042.5,24610.915,5.128793969849246,5.128793969849246,,Non calculable,0.009519087754090234,2011-11,Surveiller sans action urgente,0.0
