CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,CLV
12346.0,326,1,77183.6,1,1,5,115,At Risk,77183.6
12347.0,2,7,4310.0,5,5,5,555,Champions,30170.0
12348.0,75,4,1797.24,2,4,4,244,Loyal Customers,7188.96
12349.0,19,1,1757.55,4,1,4,414,Recent Customers,1757.55
12350.0,310,1,334.40000000000003,1,1,2,112,At Risk,334.40000000000003
12352.0,36,8,2506.04,3,5,5,355,Loyal Customers,20048.32
12353.0,204,1,89.0,1,1,1,111,At Risk,89.0
12354.0,232,1,1079.4,1,1,4,114,At Risk,1079.4
12355.0,214,1,459.40000000000003,1,1,2,112,At Risk,459.40000000000003
12356.0,23,3,2811.43,4,3,5,435,Recent Customers,8434.289999999999
12357.0,33,1,6207.67,4,1,5,415,Recent Customers,6207.67
12358.0,2,2,1168.06,5,2,4,524,Recent Customers,2336.12
12359.0,58,4,6310.03,3,4,5,345,Loyal Customers,25240.12
12360.0,52,3,2662.06,3,3,5,335,Potential Loyalist,7986.18
12361.0,287,1,189.9,1,1,1,111,At Risk,189.9
12362.0,3,10,5226.2300000000005,5,5,5,555,Champions,52262.3
12363.0,110,2,552.0,2,2,3,223,At Risk,1104.0
12364.0,8,4,1313.1,5,4,4,544,Champions,5252.4
12365.0,291,2,641.38,1,2,3,123,At Risk,1282.76
12367.0,4,1,168.9,5,1,1,511,Recent Customers,168.9
12370.0,51,4,3541.94,3,4,5,345,Loyal Customers,14167.76
12371.0,45,2,1887.96,3,2,4,324,Potential Loyalist,3775.92
12372.0,72,3,1298.04,3,3,4,334,Potential Loyalist,3894.12
12373.0,311,1,364.6,1,1,2,112,At Risk,364.6
12374.0,25,1,742.9300000000001,4,1,3,413,Recent Customers,742.9300000000001
12375.0,11,2,457.5,5,2,2,522,Recent Customers,915.0
12377.0,315,2,1628.1200000000001,1,2,4,124,At Risk,3256.2400000000002
12378.0,130,1,4008.62,2,1,5,215,At Risk,4008.62
12379.0,82,2,852.24,2,2,3,223,At Risk,1704.48
12380.0,22,4,2724.81,4,4,5,445,Champions,10899.24
12381.0,5,5,1845.31,5,4,4,544,Champions,9226.55
12383.0,185,5,1850.56,1,4,4,144,Loyal Customers,9252.8
12384.0,29,2,585.27,4,2,3,423,Recent Customers,1170.54
12386.0,338,2,401.9,1,2,2,122,At Risk,803.8
12388.0,16,6,2780.6600000000003,4,4,5,445,Champions,16683.960000000003
12390.0,80,1,549.84,2,1,3,213,At Risk,549.84
12391.0,22,1,439.66,4,1,2,412,Recent Customers,439.66
12393.0,72,4,1582.6000000000001,3,4,4,344,Loyal Customers,6330.400000000001
12394.0,64,2,1272.48,3,2,4,324,Potential Loyalist,2544.96
12395.0,19,12,3018.63,4,5,5,455,Champions,36223.56
12397.0,36,2,2409.9,3,2,5,325,Potential Loyalist,4819.8
12398.0,46,1,1635.6599999999999,3,1,4,314,Potential Loyalist,1635.6599999999999
12399.0,119,4,1108.65,2,4,4,244,Loyal Customers,4434.6
12401.0,303,1,84.3,1,1,1,111,At Risk,84.3
12402.0,323,1,225.60000000000002,1,1,1,111,At Risk,225.60000000000002
12403.0,50,1,427.7,3,1,2,312,Potential Loyalist,427.7
12405.0,149,1,1710.39,2,1,4,214,At Risk,1710.39
12406.0,22,2,3415.3,4,2,5,425,Recent Customers,6830.6
12407.0,50,5,1708.12,3,4,4,344,Loyal Customers,8540.599999999999
12408.0,33,5,2888.55,4,4,5,445,Champions,14442.75
12409.0,79,3,11072.67,2,3,5,235,At Risk,33218.01
12410.0,309,2,693.33,1,2,3,123,At Risk,1386.66
12412.0,75,3,1226.88,2,3,4,234,At Risk,3680.6400000000003
12413.0,67,3,758.1,3,3,3,333,Potential Loyalist,2274.3
12414.0,217,3,562.4100000000001,1,3,3,133,At Risk,1687.2300000000002
12415.0,24,21,124914.53,4,5,5,455,Champions,2623205.13
12417.0,3,9,3649.1,5,5,5,555,Champions,32841.9
12418.0,113,1,668.58,2,1,3,213,At Risk,668.58
12420.0,64,1,600.39,3,1,3,313,Potential Loyalist,600.39
12421.0,16,4,807.04,4,4,3,443,Champions,3228.16
12422.0,96,3,803.5600000000001,2,3,3,233,At Risk,2410.6800000000003
12423.0,1,8,1859.31,5,5,4,554,Champions,14874.48
12424.0,163,2,1760.96,2,2,4,224,At Risk,3521.92
12425.0,78,1,777.2,2,1,3,213,At Risk,777.2
12426.0,195,1,582.73,1,1,3,113,At Risk,582.73
12427.0,22,3,825.8000000000001,4,3,3,433,Recent Customers,2477.4
12428.0,26,9,7956.46,4,5,5,455,Champions,71608.14
12429.0,9,4,3750.4,5,4,5,545,Champions,15001.6
12430.0,43,1,256.4,3,1,2,312,Potential Loyalist,256.4
12431.0,36,15,6419.95,3,5,5,355,Loyal Customers,96299.25
12432.0,43,5,5059.32,3,4,5,345,Loyal Customers,25296.6
12433.0,1,7,13375.87,5,5,5,555,Champions,93631.09000000001
12434.0,85,2,806.14,2,2,3,223,At Risk,1612.28
12435.0,80,2,7829.89,2,2,5,225,At Risk,15659.78
12436.0,100,1,509.01,2,1,3,213,At Risk,509.01
12437.0,2,18,4951.41,5,5,5,555,Champions,89125.38
12438.0,14,2,2906.85,4,2,5,425,Recent Customers,5813.7
12441.0,367,1,173.55,1,1,1,111,At Risk,173.55
12442.0,3,1,172.06,5,1,1,511,Recent Customers,172.06
12444.0,21,5,5005.46,4,4,5,445,Champions,25027.3
12445.0,22,1,133.4,4,1,1,411,Recent Customers,133.4
12446.0,58,1,1002.3100000000001,3,1,4,314,Potential Loyalist,1002.3100000000001
12447.0,243,1,476.49,1,1,2,112,At Risk,476.49
12448.0,44,1,449.45,3,1,2,312,Potential Loyalist,449.45
12449.0,22,4,4067.29,4,4,5,445,Champions,16269.16
12450.0,156,2,197.88,2,2,1,221,At Risk,395.76
12451.0,11,5,9035.52,5,4,5,545,Champions,45177.600000000006
12452.0,17,2,430.57000000000005,4,2,2,422,Recent Customers,861.1400000000001
12453.0,134,1,707.09,2,1,3,213,At Risk,707.09
12454.0,56,1,3528.34,3,1,5,315,Potential Loyalist,3528.34
12455.0,73,6,2466.86,2,4,5,245,Loyal Customers,14801.16
12456.0,44,3,3181.04,3,3,5,335,Potential Loyalist,9543.119999999999
12457.0,66,7,2363.23,3,5,5,355,Loyal Customers,16542.61
12458.0,71,2,947.4,3,2,4,324,Potential Loyalist,1894.8
12461.0,94,2,826.88,2,2,3,223,At Risk,1653.76
12462.0,19,2,1189.59,4,2,4,424,Recent Customers,2379.18
12463.0,53,4,1344.78,3,4,4,344,Loyal Customers,5379.12
12464.0,10,8,1212.05,5,5,4,554,Champions,9696.4
12465.0,17,2,742.19,4,2,3,423,Recent Customers,1484.38
12468.0,188,2,729.54,1,2,3,123,At Risk,1459.08
12471.0,2,30,19788.65,5,5,5,555,Champions,593659.5
12472.0,32,7,6572.11,4,5,5,455,Champions,46004.77
12473.0,29,5,3928.05,4,4,5,445,Champions,19640.25
12474.0,17,18,7324.09,4,5,5,455,Champions,131833.62
12475.0,54,1,723.38,3,1,3,313,Potential Loyalist,723.38
12476.0,16,11,6816.42,4,5,5,455,Champions,74980.62
12477.0,23,6,13219.74,4,4,5,445,Champions,79318.44
12478.0,4,1,680.99,5,1,3,513,Recent Customers,680.99
12479.0,11,1,527.2,5,1,3,513,Recent Customers,527.2
12480.0,28,4,3281.63,4,4,5,445,Champions,13126.52
12481.0,23,10,5579.82,4,5,5,455,Champions,55798.2
12483.0,17,8,2484.98,4,5,5,455,Champions,19879.84
12484.0,33,6,4527.32,4,4,5,445,Champions,27163.92
12488.0,10,3,1298.66,5,3,4,534,Recent Customers,3895.9800000000005
12489.0,336,1,334.93,1,1,2,112,At Risk,334.93
12490.0,5,10,5417.93,5,5,5,555,Champions,54179.3
12491.0,39,1,460.40000000000003,3,1,2,312,Potential Loyalist,460.40000000000003
12492.0,63,2,263.21000000000004,3,2,2,322,Potential Loyalist,526.4200000000001
12493.0,166,2,433.74,2,2,2,222,At Risk,867.48
12494.0,16,7,1246.1,4,5,4,454,Champions,8722.699999999999
12497.0,82,1,1043.1,2,1,4,214,At Risk,1043.1
12498.0,21,3,403.70000000000005,4,3,2,432,Recent Customers,1211.1000000000001
12500.0,23,11,4257.82,4,5,5,455,Champions,46836.02
12501.0,337,1,2169.39,1,1,5,115,At Risk,2169.39
12502.0,96,5,3723.87,2,4,5,245,Loyal Customers,18619.35
12504.0,18,2,482.04999999999995,4,2,2,422,Recent Customers,964.0999999999999
12506.0,233,1,73.5,1,1,1,111,At Risk,73.5
12507.0,134,3,1304.81,2,3,4,234,At Risk,3914.43
12508.0,26,2,397.88,4,2,2,422,Recent Customers,795.76
12509.0,284,1,176.5,1,1,1,111,At Risk,176.5
12510.0,143,2,982.5699999999999,2,2,4,224,At Risk,1965.1399999999999
12512.0,66,2,132.18,3,2,1,321,Potential Loyalist,264.36
12513.0,113,1,612.29,2,1,3,213,At Risk,612.29
12514.0,267,1,1017.6800000000001,1,1,4,114,At Risk,1017.6800000000001
12515.0,353,1,383.7,1,1,2,112,At Risk,383.7
12516.0,78,2,1312.06,2,2,4,224,At Risk,2624.12
12517.0,28,5,2481.6,4,4,5,445,Champions,12408.0
12518.0,1,5,2056.89,5,4,5,545,Champions,10284.449999999999
12519.0,64,1,330.84000000000003,3,1,2,312,Potential Loyalist,330.84000000000003
12520.0,79,5,2634.26,2,4,5,245,Loyal Customers,13171.300000000001
12521.0,143,1,599.68,2,1,3,213,At Risk,599.68
12522.0,39,2,192.72,3,2,1,321,Potential Loyalist,385.44
12523.0,19,11,1789.77,4,5,4,454,Champions,19687.47
12524.0,9,8,4485.72,5,5,5,555,Champions,35885.76
12526.0,1,3,1316.66,5,3,4,534,Recent Customers,3949.9800000000005
12527.0,82,3,348.71000000000004,2,3,2,232,At Risk,1046.13
