month,product_category,monthly_revenue,monthly_quantity,nb_orders,avg_monthly_revenue_category,seasonality_index,seasonality_status
2010-12,Accessories,7889.88,3970.5,291,7562.534615384615,1.043285141987907,Mois normal
2010-12,Bags & Packaging,54081.93,26906.0,888,64769.86538461538,0.8349859873700762,Mois normal
2010-12,Christmas,35606.595,19358.0,591,28110.284615384615,1.2666750083530884,Mois fort
2010-12,Home Decor,127982.545,60327.5,1198,128166.11461538462,0.9985677211489519,Mois normal
2010-12,Kitchen & Tableware,69119.525,27474.0,941,64000.00576923077,1.0799924807699086,Mois normal
2010-12,Other,221747.085,82452.0,1370,199839.01615384614,1.1096285863881952,Mois normal
2010-12,Stationery,35651.14,20394.5,753,46025.35923076923,0.7745977564508877,Mois faible
2010-12,Textile,6416.32,2108.0,194,4845.3452307692305,1.3242234958315584,Mois fort
2010-12,Toys & Kids,9450.02,3429.0,322,14345.354615384616,0.6587512301623667,Mois faible
2011-01,Accessories,6907.635,4204.5,225,7562.534615384615,0.9134021001302475,Mois normal
2011-01,Bags & Packaging,50937.295,28605.0,659,64769.86538461538,0.7864350913426323,Mois faible
2011-01,Christmas,1944.91,1469.0,92,28110.284615384615,0.06918855595419908,Mois faible
2011-01,Home Decor,112398.03,61296.5,902,128166.11461538462,0.8769715016897932,Mois normal
2011-01,Kitchen & Tableware,58183.835,26272.0,751,64000.00576923077,0.909122339922866,Mois normal
2011-01,Other,151696.69,66045.5,953,199839.01615384614,0.759094459728606,Mois faible
2011-01,Stationery,38898.355,26473.0,624,46025.35923076923,0.8451504920356031,Mois normal
2011-01,Textile,5079.965,1939.0,144,4845.3452307692305,1.0484216826782273,Mois normal
2011-01,Toys & Kids,8303.56,3521.5,278,14345.354615384616,0.5788326759866139,Mois faible
2011-02,Accessories,4634.955,2282.0,223,7562.534615384615,0.612883806253398,Mois faible
2011-02,Bags & Packaging,41535.205,23506.0,647,64769.86538461538,0.6412736039106506,Mois faible
2011-02,Christmas,523.65,420.5,59,28110.284615384615,0.018628413307256557,Mois faible
2011-02,Home Decor,96096.695,52209.5,897,128166.11461538462,0.7497823842782302,Mois faible
2011-02,Kitchen & Tableware,51389.95,23175.5,712,64000.00576923077,0.8029678963670767,Mois normal
2011-02,Other,136521.215,56738.5,990,199839.01615384614,0.6831559603701166,Mois faible
2011-02,Stationery,33888.055,22013.0,656,46025.35923076923,0.7362909397422996,Mois faible
2011-02,Textile,3171.785,1002.5,112,4845.3452307692305,0.6546045429040478,Mois faible
2011-02,Toys & Kids,8787.155,3733.0,270,14345.354615384616,0.6125435888894829,Mois faible
2011-03,Accessories,6305.505,3629.5,303,7562.534615384615,0.8337819687030041,Mois normal
2011-03,Bags & Packaging,60862.29,34434.5,878,64769.86538461538,0.9396698547787389,Mois normal
2011-03,Christmas,655.54,533.0,66,28110.284615384615,0.02332029038372761,Mois faible
2011-03,Home Decor,117468.4,65327.0,1158,128166.11461538462,0.9165324263165225,Mois normal
2011-03,Kitchen & Tableware,67100.095,32726.0,945,64000.00576923077,1.048438889864283,Mois normal
2011-03,Other,179833.7,77789.5,1272,199839.01615384614,0.8998928410533955,Mois normal
2011-03,Stationery,45427.85,29091.5,855,46025.35923076923,0.987017825808304,Mois normal
2011-03,Textile,4739.39,1365.0,154,4845.3452307692305,0.9781325734859125,Mois normal
2011-03,Toys & Kids,16649.805,5007.0,405,14345.354615384616,1.1606408796715268,Mois normal
2011-04,Accessories,6562.065,2827.5,263,7562.534615384615,0.8677071026756903,Mois normal
2011-04,Bags & Packaging,46254.87,26645.5,736,64769.86538461538,0.7141418269951632,Mois faible
2011-04,Christmas,670.095,323.0,43,28110.284615384615,0.02383807240547328,Mois faible
2011-04,Home Decor,92767.0,56921.5,999,128166.11461538462,0.7238028575523703,Mois faible
2011-04,Kitchen & Tableware,46992.115,25628.0,791,64000.00576923077,0.7342517306864426,Mois faible
2011-04,Other,143861.78,65041.5,1103,199839.01615384614,0.7198883519785143,Mois faible
2011-04,Stationery,34931.215000000004,23848.5,735,46025.35923076923,0.7589558361697157,Mois faible
2011-04,Textile,3150.161,941.0,127,4845.3452307692305,0.6501417030092387,Mois faible
2011-04,Toys & Kids,11742.135,4283.5,325,14345.354615384616,0.8185322227871032,Mois normal
2011-05,Accessories,8254.29,3643.0,338,7562.534615384615,1.0914713677089338,Mois normal
2011-05,Bags & Packaging,76709.0,41485.0,1014,64769.86538461538,1.184331626204375,Mois normal
2011-05,Christmas,958.735,658.0,59,28110.284615384615,0.03410620038600709,Mois faible
2011-05,Home Decor,122068.315,67580.0,1278,128166.11461538462,0.9524226849375625,Mois normal
2011-05,Kitchen & Tableware,69768.605,34287.5,1016,64000.00576923077,1.0901343548556772,Mois normal
2011-05,Other,205851.395,84685.0,1468,199839.01615384614,1.0300861111201889,Mois normal
2011-05,Stationery,42355.275,29156.5,906,46025.35923076923,0.9202595201404604,Mois normal
2011-05,Textile,3861.535,1370.5,154,4845.3452307692305,0.7969576606179114,Mois faible
2011-05,Toys & Kids,16195.16,4827.5,436,14345.354615384616,1.128948041663018,Mois normal
2011-06,Accessories,7520.295,4980.5,325,7562.534615384615,0.9944146218783996,Mois normal
2011-06,Bags & Packaging,68781.935,37408.5,911,64769.86538461538,1.0619434607677538,Mois normal
2011-06,Christmas,2163.45,1435.0,105,28110.284615384615,0.0769629347266002,Mois faible
2011-06,Home Decor,103461.325,62933.0,1192,128166.11461538462,0.8072439841878523,Mois normal
2011-06,Kitchen & Tableware,65341.58,31971.0,989,64000.00576923077,1.0209620954661573,Mois normal
2011-06,Other,187842.055,81547.5,1351,199839.01615384614,0.9399668724118904,Mois normal
2011-06,Stationery,40371.68,31026.5,870,46025.35923076923,0.8771616490287035,Mois normal
2011-06,Textile,3805.18,1501.0,148,4845.3452307692305,0.7853269104203546,Mois faible
2011-06,Toys & Kids,13180.79,3746.5,377,14345.354615384616,0.9188193916004221,Mois normal
2011-07,Accessories,6954.15,5723.0,335,7562.534615384615,0.9195528157785927,Mois normal
2011-07,Bags & Packaging,69485.325,40886.0,926,64769.86538461538,1.072803294979592,Mois normal
2011-07,Christmas,8511.795,5390.0,187,28110.284615384615,0.30280002911608866,Mois faible
2011-07,Home Decor,109401.315,66652.0,1166,128166.11461538462,0.8535900095614496,Mois normal
2011-07,Kitchen & Tableware,63414.02,32608.5,952,64000.00576923077,0.9908439731811322,Mois normal
2011-07,Other,185617.85,85706.5,1305,199839.01615384614,0.9288368886739417,Mois normal
2011-07,Stationery,39193.405,32575.5,864,46025.35923076923,0.8515610883879451,Mois normal
2011-07,Textile,3840.151,1303.0,139,4845.3452307692305,0.7925443527974064,Mois faible
2011-07,Toys & Kids,11572.045,3367.0,342,14345.354615384616,0.806675422829186,Mois normal
2011-08,Accessories,6820.8,4656.0,312,7562.534615384615,0.9019198386377381,Mois normal
2011-08,Bags & Packaging,72342.79,40152.0,795,64769.86538461538,1.1169204933562111,Mois normal
2011-08,Christmas,16291.32,9268.5,280,28110.284615384615,0.5795501619035136,Mois faible
2011-08,Home Decor,113201.41,68321.5,1060,128166.11461538462,0.883239773162412,Mois normal
2011-08,Kitchen & Tableware,62369.955,30059.5,838,64000.00576923077,0.9745304590267014,Mois normal
