week,weekly_revenue
2010-11-29,134220.19
2010-12-06,216146.355
2010-12-13,158558.6
2010-12-20,59019.895
2011-01-03,98109.12
2011-01-10,108626.255
2011-01-17,105358.355
2011-01-24,103993.275
2011-01-31,93514.86
2011-02-07,72423.37
2011-02-14,101030.515
2011-02-21,109837.05
2011-02-28,96745.595
2011-03-07,100002.43000000001
2011-03-14,111385.49
2011-03-21,103532.375
2011-03-28,128533.245
2011-04-04,96361.895
2011-04-11,115916.011
2011-04-18,91099.285
2011-04-25,66425.195
2011-05-02,109797.655
2011-05-09,151300.16
2011-05-16,157034.215
2011-05-23,104822.83
2011-05-30,89101.435
2011-06-06,124638.935
2011-06-13,122646.655
2011-06-20,102505.67
2011-06-27,87547.495
2011-07-04,120596.98
2011-07-11,103872.18000000001
2011-07-18,140916.885
2011-07-25,115678.191
2011-08-01,116202.23
2011-08-08,113525.065
2011-08-15,116437.44
2011-08-22,118895.28
2011-08-29,112108.515
2011-09-05,150864.225
2011-09-12,157597.98
2011-09-19,204909.221
2011-09-26,166458.715
2011-10-03,201298.59
2011-10-10,181774.19
2011-10-17,181762.555
2011-10-24,180769.415
2011-10-31,216245.28
2011-11-07,254552.865
2011-11-14,266404.66
2011-11-21,239212.395
2011-11-28,244345.15
2011-12-05,224968.025
