week,weekly_revenue,scope,trend,seasonal,resid,seasonality_index,seasonality_status
2010-11-29,134220.19,Total catalogue,112156.17188078658,17274.636330614463,4789.381788598956,0.9640855073053075,Semaine normale
2010-12-06,216146.355,Total catalogue,110593.86410799487,103872.51979005439,1679.9711019507522,1.5974862196840753,Semaine forte
2010-12-13,158558.6,Total catalogue,109063.97672761514,47725.13510339106,1769.4881689938047,1.1678680872691118,Semaine normale
2010-12-20,59019.895,Total catalogue,107567.8393161974,-48631.58116032355,83.63684412614384,0.43899588612687956,Semaine faible
2010-12-27,0.0,Total catalogue,106106.4473601023,-103921.96887480226,-2184.4784853000456,0.016271427782929605,Semaine faible
2011-01-03,98109.12,Total catalogue,104681.41083071125,-5970.76251112317,-601.5283195880766,0.7352616179773117,Semaine faible
2011-01-10,108626.255,Total catalogue,103296.16737362367,9173.482558140142,-3843.3949317638035,0.837747681632445,Semaine normale
2011-01-17,105358.355,Total catalogue,101956.79127240914,3594.990787640041,-193.42706004918728,0.7862188667487441,Semaine faible
2011-01-24,103993.275,Total catalogue,100674.23143679937,4632.555076918397,-1313.5115137177636,0.7843939793140099,Semaine faible
2011-01-31,93514.86,Total catalogue,99466.28182342509,-371.3921860661005,-5580.029637358981,0.7381236991996262,Semaine faible
2011-02-07,72423.37,Total catalogue,98362.82987947688,-24838.83798154492,-1100.6218979319674,0.5476548899567577,Semaine faible
2011-02-14,101030.515,Total catalogue,97417.24790884032,4759.996115428614,-1146.7290242689342,0.7610830952959959,Semaine faible
2011-02-21,109837.05,Total catalogue,96706.78926655091,12079.679092290926,1050.5816411581618,0.8103129307852719,Semaine normale
2011-02-28,96745.595,Total catalogue,96729.90841777668,6782.888372796294,-6767.201790572974,0.7710311678146516,Semaine faible
2011-03-07,100002.43000000001,Total catalogue,96891.802918727,65667.67842324564,-62557.051341972634,1.2108495821249026,Semaine forte
2011-03-14,111385.49,Total catalogue,97134.0872990345,29581.70254675866,-15330.299845793154,0.943862270700966,Semaine normale
2011-03-21,103532.375,Total catalogue,97347.59576382575,-24679.401861264498,30864.181097438748,0.5412803454729571,Semaine faible
2011-03-28,128533.245,Total catalogue,97501.55723095103,-68354.12574223065,99385.81351127962,0.2171091771871854,Semaine faible
2011-04-04,96361.895,Total catalogue,97696.5413456642,290.62268276615464,-1625.2690284303535,0.729872632700105,Semaine faible
2011-04-11,115916.011,Total catalogue,98015.98111041651,1138.9367286638717,16761.093160919612,0.7385708285972475,Semaine faible
2011-04-18,91099.285,Total catalogue,98544.48024112268,-4575.110939905196,-2870.0843012174882,0.6999454637257216,Semaine faible
2011-04-25,66425.195,Total catalogue,99276.83991673659,-5037.368389360898,-27814.27652737568,0.7019573621703694,Semaine faible
2011-05-02,109797.655,Total catalogue,100208.20255200805,1694.8129345960183,7894.63951339593,0.7590404613782628,Semaine faible
2011-05-09,151300.16,Total catalogue,101341.85781539406,-6110.071294716972,56068.37347932291,0.7093487747478223,Semaine faible
2011-05-16,157034.215,Total catalogue,102640.55336295304,15071.454735904576,39322.206901142374,0.8767962018637632,Semaine normale
2011-05-23,104822.83,Total catalogue,104017.25950710531,6755.224462689686,-5949.653969794992,0.8251060769786785,Semaine normale
2011-05-30,89101.435,Total catalogue,105429.24439494657,-1183.1949934471932,-15144.614401499377,0.7764929139410708,Semaine faible
2011-06-06,124638.935,Total catalogue,106885.75647941708,27344.690491096087,-9591.511970513166,0.9998363631633891,Semaine normale
2011-06-13,122646.655,Total catalogue,108474.94901602669,10823.48464796303,3348.221336010276,0.8886129394465527,Semaine normale
2011-06-20,102505.67,Total catalogue,110410.04964526428,807.0841321230093,-8711.463777387296,0.828418120233679,Semaine normale
2011-06-27,87547.495,Total catalogue,113111.46806305423,-36453.55423457738,10889.58117152314,0.5709983949229769,Semaine faible
2011-07-04,120596.98,Total catalogue,116866.83024060818,6573.470173730018,-2843.3204143382027,0.9194642781840711,Semaine normale
2011-07-11,103872.18000000001,Total catalogue,121402.22646897317,-6603.194784244131,-10926.85168472903,0.8550984439435884,Semaine normale
2011-07-18,140916.885,Total catalogue,126231.29334565985,-12774.690875091215,27460.282529431366,0.8450991511334761,Semaine normale
2011-07-25,115678.191,Total catalogue,131219.3364021721,-15944.243183116194,403.097780944081,0.8586444623311151,Semaine normale
