StockCode,quantity_sold,total_revenue,nb_orders,nb_customers,avg_unit_price,first_sale,last_sale,description,returned_qty,return_value,nb_return_invoices,return_rate_qty,market_share_pct,rank_revenue,description_short
22423,11282.5,95134.625,1988,881,8.443846537120079,2010-12-01 12:27:00,2011-12-09 10:23:00,REGENCY CAKESTAND 3 TIER,855.0,9697.05,180.0,0.07578107688898737,1.3122686149037954,1,REGENCY CAKESTAND 3 TIER
47566,12613.0,66027.24,1685,708,5.453166568569747,2010-12-03 11:27:00,2011-12-09 10:23:00,PARTY BUNTING,268.0,1156.8,19.0,0.021247918813922143,0.9107669765946994,2,PARTY BUNTING
85123A,21629.5,61307.195,2198,856,3.1178384376387043,2010-12-01 08:26:00,2011-12-09 11:34:00,CREAM HANGING HEART T-LIGHT HOLDER,2578.0,6624.3,42.0,0.11918907048244295,0.8456595888856123,3,CREAM HANGING HEART T-LIGHT HOLDER
85099B,22390.0,47772.21,2089,635,2.4861972498814606,2010-12-01 09:57:00,2011-12-09 10:26:00,JUMBO BAG RED RETROSPOT,1115.0,1984.02,43.0,0.049799017418490396,0.6589606239325929,4,JUMBO BAG RED RETROSPOT
22086,11493.5,37507.455,1160,613,3.362331081081081,2010-12-01 09:00:00,2011-12-09 12:19:00,PAPER CHAIN KIT 50'S CHRISTMAS ,453.0,1160.35,10.0,0.03941358158959412,0.5173705790233203,5,PAPER CHAIN KIT 50'S CHRISTMAS 
84879,21599.0,36728.655,1455,678,1.7225745257452574,2010-12-01 08:34:00,2011-12-09 12:31:00,ASSORTED COLOUR BIRD ORNAMENT,48.0,81.11999999999999,10.0,0.0022223251076438724,0.5066279624703347,6,ASSORTED COLOUR BIRD ORNAMENT
23298,6682.5,34205.375,1146,573,5.279276485788113,2011-05-04 13:57:00,2011-12-09 12:16:00,SPOTTY BUNTING,110.0,482.80999999999995,12.0,0.01646090534979424,0.4718223262404715,7,SPOTTY BUNTING
79321,6250.5,33013.13,661,205,6.009415292353823,2010-12-01 09:58:00,2011-12-09 12:20:00,CHILLI LIGHTS,80.0,349.7,6.0,0.012798976081913447,0.4553767293321327,8,CHILLI LIGHTS
22960,7114.0,30796.14,1132,573,5.075798764342454,2010-12-01 08:34:00,2011-12-09 10:26:00,JAM MAKING SET WITH JARS,246.0,1004.5,86.0,0.0345797019960641,0.42479599811512764,9,JAM MAKING SET WITH JARS
22720,5638.5,28418.85,1385,640,5.465064655172414,2010-12-13 15:13:00,2011-12-09 10:03:00,SET OF 3 CAKE TINS PANTRY DESIGN ,153.0,725.1500000000001,72.0,0.02713487629688747,0.3920041197057194,10,SET OF 3 CAKE TINS PANTRY DESIGN 
23084,12416.0,28020.335,994,450,2.386401179941003,2011-05-10 14:20:00,2011-12-09 12:31:00,RABBIT NIGHT LIGHT,108.0,208.40000000000003,15.0,0.008698453608247423,0.3865070808823848,11,RABBIT NIGHT LIGHT
20725,14359.0,27816.055,1565,532,2.1314222503160556,2010-12-01 09:37:00,2011-12-09 12:23:00,LUNCH BAG RED RETROSPOT,552.0,818.4,41.0,0.038442788495020544,0.3836892820772437,12,LUNCH BAG RED RETROSPOT
22112,5325.0,27165.9,858,382,5.487477064220183,2010-12-01 10:52:00,2011-12-09 11:26:00,CHOCOLATE HOT WATER BOTTLE,80.0,344.88,7.0,0.015023474178403756,0.37472116976983955,13,CHOCOLATE HOT WATER BOTTLE
23284,3659.0,26761.15,728,378,7.867185792349726,2011-04-27 12:57:00,2011-12-09 10:03:00,DOORMAT KEEP CALM AND COME IN,225.0,1601.25,7.0,0.06149221098660836,0.3691381265625708,14,DOORMAT KEEP CALM AND COME IN
23203,12252.0,25559.745,1231,505,2.275764895330113,2011-05-06 15:54:00,2011-12-09 09:38:00,JUMBO BAG VINTAGE DOILY ,590.0,1076.4,17.0,0.048155403199477635,0.3525661783860946,15,JUMBO BAG VINTAGE DOILY 
23355,5042.5,24610.915,782,474,5.128793969849246,2011-08-22 13:32:00,2011-12-09 11:56:00,HOT WATER BOTTLE KEEP CALM,48.0,218.39999999999998,7.0,0.009519087754090234,0.3394782009028264,16,HOT WATER BOTTLE KEEP CALM
22457,7653.5,24200.985,1249,587,3.59003187250996,2010-12-01 09:53:00,2011-12-09 10:26:00,NATURAL SLATE HEART CHALKBOARD ,52.0,152.6,17.0,0.0067942771281113215,0.3338237057775498,17,NATURAL SLATE HEART CHALKBOARD 
22114,4488.5,23770.805,643,325,4.968266253869969,2010-12-01 09:32:00,2011-12-09 10:26:00,HOT WATER BOTTLE TEA AND SYMPATHY,34.0,130.1,4.0,0.00757491366826334,0.3278898860693278,18,HOT WATER BOTTLE TEA AND SYMPATHY
22386,10733.0,23508.49,1218,372,2.598733766233766,2010-12-01 09:37:00,2011-12-09 12:19:00,JUMBO BAG PINK POLKADOT,456.0,816.58,13.0,0.042485791484207586,0.32427156370017474,19,JUMBO BAG PINK POLKADOT
22726,5336.5,23302.335,980,322,4.536592517694641,2010-12-01 08:45:00,2011-12-09 12:50:00,ALARM CLOCK BAKELIKE GREEN,32.0,120.0,20.0,0.0059964396139792,0.32142790150772377,20,ALARM CLOCK BAKELIKE GREEN
